0,NaN,NaN,NaN,NaN,NaN
0.062832,1.2537,13.278,26.309,36.018,38.571
0.12566,0.65236,6.9066,13.544,29.476,36.45
0.1885,0.45563,4.4324,8.9241,22.2,33.904
0.25133,0.32646,3.4923,6.9993,16.909,29.57
0.31416,0.26707,2.6967,5.4637,13.779,24.549
0.37699,0.22547,2.3367,4.7579,11.324,22.392
0.43982,0.20063,2.0105,4.0524,9.6314,19.661
0.50265,0.17278,1.8068,3.6686,9.0505,17.537
0.56549,0.15471,1.6447,3.3,8.1313,15.317
0.62832,0.145,1.5057,2.9868,7.3676,14.343
0.69115,0.13441,1.4164,2.8104,7.1923,13.162
0.75398,0.12451,1.3171,2.6177,6.3312,12.203
0.81681,0.11834,1.2137,2.457,6.1052,11.801
0.87965,0.11301,1.1687,2.3489,5.7011,10.705
0.94248,0.1076,1.1254,2.2086,5.5875,10.442
1.0053,0.10496,1.0933,2.1859,5.3684,10.102
1.0681,0.10002,1.0487,2.0908,5.1558,9.7707
1.131,0.096885,1.0039,2.0077,4.9895,9.4789
1.1938,0.094577,0.99237,2.0011,4.9676,9.3172
1.2566,0.093558,0.97183,1.938,4.8233,9.0723
1.3195,0.092189,0.95418,1.9055,4.7578,8.9031
1.3823,0.091589,0.9419,1.9023,4.6895,8.8064
1.4451,0.09004,0.93754,1.8797,4.6671,8.7134
1.508,0.089911,0.92757,1.8694,4.6137,8.6832
1.5708,0.089843,0.92718,1.8556,4.6261,8.6241
1.6336,0.089464,0.92703,1.8679,4.5992,8.6822
1.6965,0.09001,0.93244,1.8719,4.636,8.7278
1.7593,0.090745,0.94365,1.889,4.6956,8.8114
1.8221,0.091437,0.95379,1.9107,4.7438,8.9333
1.885,0.092108,0.96692,1.9274,4.8192,9.0657
1.9478,0.096105,0.9888,2.0059,4.9465,9.3311
2.0106,0.097861,1.0114,2.0419,5.0426,9.5917
2.0735,0.10085,1.0483,2.0965,5.1759,9.8135
2.1363,0.10432,1.073,2.1284,5.3638,10.14
2.1991,0.10653,1.1203,2.2538,5.5876,10.49
2.2619,0.11193,1.1761,2.2756,5.8478,10.98
2.3248,0.11883,1.2132,2.4571,6.1484,11.855
2.3876,0.12698,1.2884,2.5951,6.4306,12.281
2.4504,0.13599,1.3928,2.7977,6.8159,13.122
2.5133,0.14448,1.531,3.0121,7.3617,13.885
2.5761,0.15832,1.6416,3.2343,8.1528,15.54
2.6389,0.17578,1.8101,3.6338,9.2083,17.168
2.7018,0.1942,1.9813,4.1083,10.133,19.053
2.7646,0.22533,2.3394,4.7065,11.789,21.747
2.8274,0.27191,2.8218,5.5717,13.395,25.073
2.8903,0.32862,3.4291,6.8722,17.41,28.657
2.9531,0.43929,4.5035,8.8834,22.423,31.995
3.0159,0.64297,6.6462,12.989,29.924,36.23
3.0788,1.2932,13.202,25.254,36.401,36.867
3.1416,39.523,39.184,40.273,39.644,40.218
3.2044,1.314,13.755,24.921,36.257,38.96
3.2673,0.65303,6.5278,13.737,29.119,36.062
3.3301,0.45423,4.6468,8.9291,21.905,32.081
3.3929,0.33504,3.4634,6.6907,17.425,28.285
3.4558,0.26378,2.7238,5.4749,13.589,24.479
3.5186,0.22831,2.2919,4.6384,12.161,22.21
3.5814,0.19979,2.0337,4.1654,10.254,19.413
3.6442,0.17897,1.7965,3.6361,8.7847,16.442
3.7071,0.15955,1.6106,3.1783,8.1387,15.628
3.7699,0.14652,1.4781,2.9849,7.6049,14.197
3.8327,0.13379,1.3846,2.7857,7.0126,12.925
3.8956,0.12501,1.2858,2.5787,6.5606,12.212
3.9584,0.1193,1.2446,2.4743,6.1086,11.447
4.0212,0.11333,1.1504,2.3236,5.8992,10.834
4.0841,0.10832,1.1077,2.2521,5.5352,10.696
4.1469,0.10434,1.0723,2.1606,5.4366,10.014
4.2097,0.10036,1.0421,2.083,5.2136,9.824
4.2726,0.09768,1.0164,2.025,5.058,9.4058
4.3354,0.094619,0.97631,1.9552,4.9421,9.258
4.3982,0.093142,0.96687,1.955,4.8149,9.0682
4.4611,0.093056,0.95412,1.9176,4.7564,8.9231
4.5239,0.091609,0.93899,1.8936,4.6877,8.7354
4.5867,0.089967,0.92727,1.8672,4.6108,8.7474
4.6496,0.089994,0.92736,1.8592,4.6381,8.7128
4.7124,0.089965,0.91875,1.8727,4.6248,8.6631
4.7752,0.089173,0.92744,1.8584,4.6365,8.6831
4.8381,0.090162,0.93512,1.8875,4.6555,8.8051
4.9009,0.090346,0.94276,1.8962,4.6733,8.7958
4.9637,0.091403,0.95015,1.9174,4.7081,8.9075
5.0265,0.092871,0.96707,1.9468,4.8381,8.9606
5.0894,0.096208,0.98417,2.0011,4.9269,9.2432
5.1522,0.099068,1.0145,2.016,5.0868,9.4912
5.215,0.1006,1.0427,2.0843,5.2206,9.6376
5.2779,0.10541,1.0734,2.1684,5.3402,10.257
5.3407,0.10651,1.1134,2.2398,5.5599,10.371
5.4035,0.11269,1.162,2.3408,5.7703,10.994
5.4664,0.11852,1.2285,2.4858,6.2478,11.742
5.5292,0.1276,1.2966,2.6115,6.4319,12.369
5.592,0.13277,1.3656,2.7578,6.8925,13.198
5.6549,0.14331,1.4943,3.0582,7.5255,14.161
5.7177,0.15697,1.6488,3.2752,8.1126,15.699
5.7805,0.17639,1.821,3.5653,8.8493,17.113
5.8434,0.19269,2.0258,4.0826,10.167,19.526
5.9062,0.22331,2.3431,4.6922,11.609,21.893
5.969,0.26607,2.7414,5.5286,13.624,24.298
6.0319,0.33132,3.3647,6.6892,16.815,29.763
6.0947,0.44172,4.5092,8.9979,21.252,32.391
6.1575,0.62919,6.7739,13.672,28.807,35.968
6.2204,1.2997,13.037,24.883,37.06,37.952
6.2832,39.435,38.615,40.264,39.835,38.647
