t,sigma12,sigma23,sigma31
0,0.577351232677888,0.5773550032935,0.577344571549162
1e-05,0.57735551763186,0.577344610280735,0.577350679604547
2e-05,0.577345866467895,0.577354642839997,0.577350298227631
3e-05,0.577356605954955,0.577348586262777,0.577345615295161
4e-05,0.577342945267475,0.577359966244607,0.577347895924029
5e-05,0.57733988745057,0.577359964703867,0.577350955239283
6e-05,0.577348311528545,0.577360326669784,0.577342169222809
7e-05,0.57733879901265,0.577355988613964,0.577356019771357
8e-05,0.577351232677888,0.5773550032935,0.577344571549162
9e-05,0.57735551763186,0.577344610280735,0.577350679604547
0.0001,0.577345866467895,0.577354642839997,0.577350298227631
0.00011,0.577356605954955,0.577348586262777,0.577345615295161
0.00012,0.577342945267475,0.577359966244607,0.577347895924029
0.00013,0.577351404666946,0.577352126251064,0.577347276639008
0.00014,0.577338484940502,0.577359666641238,0.577352655785461
0.00015,0.577350316236883,0.577348150283954,0.577352341040432
0.00016,0.57734140607973,0.577354343206123,0.577355058180758
0.00017,0.57735551763186,0.577344610280735,0.577350679604547
0.00018,0.577345866467895,0.577354642839997,0.577350298227631
0.00019,0.600630656678703,0.709782331674028,0.368037845745638
0.0002,0.362231295055004,0.845352696466829,0.392641448982448
0.00021,0.440340531484332,0.827214436038233,0.349022195772768
0.00022,0.445755275107282,0.8460971535853,0.292270151416261
0.00023,0.41482347633223,0.87954492328734,0.23307125820897
0.00024,0.371716071686964,0.904372221064476,0.20961404489327
0.00025,0.339546040822939,0.915440164688277,0.216050436326721
0.00026,0.339788281719365,0.905362186779418,0.254682614946903
0.00027,0.359284015064267,0.887342838223559,0.28902886356324
0.00028,0.388140184236465,0.869787351651013,0.304659088636463
0.00029,0.399371600951674,0.867488507236621,0.296590650839968
0.0003,0.405347754624231,0.869592646047553,0.281960684779119
0.00031,0.390529726584788,0.883611188195697,0.258297891491587
0.00032,0.378103293800698,0.890617253053969,0.252663427863365
0.00033,0.367676650909301,0.894742063763357,0.253476862274665
0.00034,0.368142171382574,0.890785424923874,0.266406960105994
0.00035,0.373410829555762,0.885645030779309,0.276038460773847
0.00036,0.38406319755849,0.878799029075511,0.283209686940768
0.00037,0.386466160588833,0.87920527930311,0.278643111462075
0.00038,0.389895573682384,0.878729311909994,0.275347485939264
0.00039,0.383230994354335,0.884745969493594,0.265251907497435
0.0004,0.380521007620624,0.885883697625745,0.265356057101252
0.00041,0.375717396406746,0.888421627655643,0.263710920424304
0.00042,0.377075496334944,0.885925285639399,0.270093425185628
0.00043,0.377774127929671,0.885055361929276,0.271962708081852
0.00044,0.382760722967727,0.881618882448861,0.276120218497025
0.00045,0.382154224921917,0.882899742123821,0.272848298019282
0.00046,0.384846718222817,0.881592017377996,0.273292002020773
0.00047,0.3808743558556,0.885052593241677,0.267612840214673
0.00048,0.381362273656354,0.884243170111005,0.269586409790435
0.00049,0.378368676712076,0.886280533463924,0.267102902429109
0.0005,0.380087936207609,0.884256901818687,0.271335387178776
0.00051,0.379233166215281,0.884851419824502,0.270592258715758
0.00052,0.382337686785909,0.882549502141551,0.273722979548484
0.00053,0.38070220062054,0.884129135309767,0.270890211227874
0.00054,0.383144417827688,0.882538884741007,0.27262698327125
0.00055,0.380117511253002,0.885107168056893,0.268506943472846
0.00056,0.381655993272331,0.883670308812107,0.271045177273505
0.00057,0.379287204001199,0.885514397819441,0.26833834637529
0.00058,0.381128651035553,0.883675855943395,0.271768160354609
0.00059,0.37971761416919,0.884800405136771,0.270079204233618
0.0006,0.382191348011117,0.882868827933039,0.27289632861141
0.00061,0.380167511685311,0.884579311628875,0.270170510043536
0.00062,0.382546245836911,0.882864167780808,0.272413713026321
0.00063,0.379852939347477,0.885104508188238,0.268889854873588
0.00064,0.38181145075022,0.883422634532521,0.271632959840355
0.00065,0.379639886635789,0.88520904460617,0.268846617651398
0.00066,0.381576893504081,0.883425114539606,0.271954300102903
0.00067,0.379897870171799,0.884780398527607,0.269891190334661
0.00068,0.382173576412809,0.882971820438989,0.272587824017327
0.00069,0.380006775980165,0.884726886934506,0.269913293011549
0.0007,0.382333157171596,0.882969746431183,0.272370673558026
0.00071,0.379796978594289,0.885076920581509,0.269059658263001
0.00072,0.381868484193945,0.883322916166824,0.271876969517385
0.00073,0.379777319965982,0.885086568616761,0.269055669506636
0.00074,0.381739716129452,0.883324289426373,0.272053283087705
0.00075,0.379960758016675,0.884781568402995,0.269798811305257
0.00076,0.382136695779391,0.883022671187425,0.272474783985297
0.00077,0.379956916970523,0.884783455595509,0.269798031776967
0.00078,0.382237760247382,0.883021375169608,0.272337191060345
0.00079,0.37980352056747,0.885039324080599,0.269174071179807
0.0008,0.381913494744251,0.883267830534773,0.27199268753889
0.00081,0.379843536464158,0.885019681329432,0.269182190097994
0.00082,0.381827459666772,0.883268759724575,0.272110435557021
0.00083,0.379987917047521,0.884779501265364,0.269767338717089
0.00084,0.382154222701113,0.883020451167662,0.272457396470285
0.00085,0.37995137033619,0.88479745710795,0.269759923033348
0.00086,0.382225588899897,0.883019547577196,0.272360198609657
0.00087,0.379831172095296,0.884997942774003,0.269271093863592
0.00088,0.381979179240052,0.883206860645182,0.272098415902
0.00089,0.379877365891709,0.884975264365013,0.269280464098775
0.0009,0.381922754399593,0.883207476867573,0.272175609629232
0.00091,0.379996035896732,0.884777771444184,0.269761575953718
0.00092,0.382164202883797,0.883023969855872,0.272431992787501
0.00093,0.379972041101375,0.884789560394995,0.269756708530641
0.00094,0.382217417401132,0.883023302300348,0.272359493004735
0.00095,0.379865402715295,0.884967444578395,0.269323036252624
0.00096,0.382003200822034,0.883186150221916,0.272131914001119
0.00097,0.379925863372182,0.884937756902247,0.269335301714652
0.00098,0.381951700855531,0.883186719196539,0.272202346147899
0.00099,0.380023207904318,0.884775699451673,0.269730093081796
0.001,0.382160977827799,0.883027655944407,0.272424569125154
0.00101,0.379993207709156,0.88479043917131,0.269724008656897
0.00102,0.382209244507672,0.8830270569021,0.272358789451872
0.00103,0.379912145078902,0.884925659096212,0.269394394697963
0.00104,0.382034758594249,0.883159709311101,0.27217342095687
0.00105,0.379960139822805,0.884902088932452,0.26940412979169
0.00106,0.381984127457693,0.883160273265921,0.272242645621968
0.00107,0.380042783757705,0.884764461666566,0.269739373999358
0.00108,0.382188726817423,0.88300474134668,0.272459912377877
0.00109,0.380005690302319,0.884782687118614,0.269731851869637
0.0011,0.382234463027647,0.883004179839148,0.272397565445363
0.00111,0.37993694290914,0.884897379208025,0.269452310592478
0.00112,0.382072209990574,0.883127550522325,0.272225193289229
0.00113,0.379957201848357,0.884887429497931,0.269456419259425
0.00114,0.382029808386108,0.883128025539343,0.272283154108833
0.00115,0.380029821961708,0.884766461023059,0.269751077603935
0.00116,0.382190207635404,0.883006083295982,0.272453486029995
0.00117,0.380032005519653,0.884765388133321,0.269751520370144
0.00118,0.38221450944697,0.883005787433847,0.272420351894905
0.00119,0.379968875280517,0.88487072163,0.269494823364126
0.0012,0.382088951755183,0.883101262510206,0.272286968288064
0.00121,0.3799847637445,0.884862917381019,0.269498045940946
0.00122,0.382067954957408,0.883101499389498,0.272315661633121
0.00123,0.380046098895008,0.884760724470906,0.269746961333029
0.00124,0.382216140776549,0.882988828836092,0.272473025968714
0.00125,0.38004934950566,0.884759127272497,0.269747620282987
0.00126,0.382245383621978,0.882988475128053,0.272433146828214
0.00127,0.380001828746606,0.884838418900474,0.269554414890471
0.00128,0.38212898580393,0.883076994924338,0.272309491652164
0.00129,0.380016700226831,0.884831113326455,0.269557430686258
0.0013,0.382103050408076,0.883077289192228,0.272344928687407
0.00131,0.38006801832662,0.884745583400659,0.269765739296716
0.00132,0.382220679154286,0.88298784605775,0.272469844461974
0.00133,0.38006417902288,0.884747469957715,0.269764961081096
0.00134,0.382245748115566,0.882987543660692,0.272435654398666
0.00135,0.38001898688319,0.884822882355127,0.269581224251691
0.00136,0.382159912576688,0.883052824125182,0.272344471256382
0.00137,0.380052466833933,0.884806433973317,0.269588013184682
0.00138,0.382134083617617,0.883053118418702,0.272379757303531
0.00139,0.380101443297698,0.884724786414808,0.269786851247942
0.0014,0.382242545262518,0.882970634955121,0.272494943802967
0.00141,0.380079012180664,0.884735809392276,0.269782304977114
0.00142,0.382257717525833,0.882970453579598,0.272474247402171
0.00143,0.380043811351506,0.88479455824388,0.269639186980377
0.00144,0.382156603458981,0.883047359806253,0.272366831262362
0.00145,0.380057665485287,0.88478775137306,0.269641995850198
0.00146,0.382127468120608,0.883047692599505,0.272406627493575
0.00147,0.38009429227943,0.884726679926808,0.269790716671807
0.00148,0.382254273227481,0.882951251036116,0.272541297591921
0.00149,0.380091512963162,0.884728045722177,0.269790153426681
0.0015,0.382276817184226,0.882950983158513,0.27251054361788
0.00151,0.380058644143495,0.884782904703148,0.269656519589031
0.00152,0.382178762500341,0.883025570701517,0.272406378377908
0.00153,0.380079594380209,0.884772610786879,0.269660766774008
0.00154,0.382165235650729,0.883025725277476,0.272424854149195
0.00155,0.38011621767127,0.884711531655266,0.269809500980748
0.00156,0.382264539715179,0.882950196329494,0.272530314787273
0.00157,0.380133088168844,0.884703240494096,0.269812919517326
0.00158,0.382271464466412,0.882950114274859,0.272520867378479
0.00159,0.380102554200982,0.884754211848608,0.269688770448525
0.0016,0.382203980991443,0.883001450510753,0.272449179316434
0.00161,0.380103863134241,0.884753568632841,0.269689035783586
0.00162,0.382196278010912,0.883001538847422,0.272459698795419
0.00163,0.380138144966623,0.884696380607183,0.269828287771843
0.00164,0.382289470816442,0.882930648231363,0.272558674264148
0.00165,0.380147934640579,0.884691569120796,0.269830271309737
0.00166,0.382307837801315,0.882930431204146,0.27253361409071
0.00167,0.380125060080456,0.884729759412953,0.269737263847485
0.00168,0.382243404655476,0.882979451613095,0.272465167730535
0.00169,0.380118229250013,0.884733116338937,0.269735879417308
0.0017,0.382216792767597,0.882979756928209,0.272501508585647
0.00171,0.380144841529537,0.884688713625755,0.269843990931221
0.00172,0.382306930300219,0.882911182820902,0.272597238236595
0.00173,0.380154628433475,0.884683903397029,0.269845973753181
0.00174,0.382326946909345,0.882910947597513,0.272569925485994
0.00175,0.380134090153629,0.884718198282719,0.269762456858718
0.00176,0.382268631150699,0.882955319121132,0.272507978000407
0.00177,0.380142501221136,0.884714064518713,0.269764161459815
0.00178,0.382251913265126,0.882955511687695,0.272530804103813
0.00179,0.380164433892855,0.884677461640286,0.269853278780571
0.0018,0.382303927787301,0.882915938407293,0.2725860460566
0.00181,0.380182375831976,0.884668642730063,0.269856913339093
0.00182,0.382314046875569,0.882915819585006,0.272572238293196
0.00183,0.380164174500791,0.884699039418858,0.269782894338173
0.00184,0.382290801876491,0.882933507105678,0.272547546000139
0.00185,0.380145845490969,0.884708047973181,0.269779180085195
0.00186,0.382285630699052,0.882933566669727,0.272554606288175
0.00187,0.38016778040147,0.884671439354756,0.269868307021415
0.00188,0.382345202375095,0.882888237685472,0.272617875381254
0.00189,0.380197232350745,0.884656962578051,0.26987427271789
0.0019,0.382355318933994,0.882888119061832,0.272604070590195
0.00191,0.380179029309626,0.884687363981372,0.269800247747999
0.00192,0.382300055555338,0.882930173458847,0.272545365615188
0.00193,0.380167782845774,0.884692891823965,0.269797968936533
0.00194,0.382275963136015,0.882930450974536,0.272578258029386
0.00195,0.380189715427587,0.884656278973234,0.269887102982567
0.00196,0.382349389722362,0.882874576080749,0.272656243444332
0.00197,0.380200579172887,0.884650938816627,0.269889303321681
0.00198,0.382366882092458,0.882874371683821,0.272632373908146
0.00199,0.380195673485238,0.884659133398351,0.269869352757929
0.002,0.382322231810705,0.88290835293676,0.272584943417238
0.00201,0.380176277279985,0.884668667867727,0.269865422547375
0.00202,0.38230968760888,0.882908497429348,0.2726020688246
0.00203,0.380192569963665,0.884641461316121,0.269931648135045
0.00204,0.38238006121405,0.882854939683214,0.272676812844231
0.00205,0.380249851702602,0.88461330155656,0.269943247719503
0.00206,0.382384351209924,0.882854889770031,0.272670958407588
0.00207,0.380237285134388,0.88463429793406,0.269892137551918
0.00208,0.382335205424577,0.882892295899478,0.272618753086238
0.00209,0.380217893431125,0.884643831326799,0.269888208727687
0.0021,0.382322659594221,0.882892440565504,0.272635878697373
0.00211,0.380234185614272,0.884616621226592,0.269954436044122
0.00212,0.382376124052895,0.88285174945358,0.272692662609463
0.00213,0.380253203968413,0.884607271170539,0.269958286896271
0.00214,0.38239361761507,0.882851545786449,0.272668790494505
0.00215,0.38024063649972,0.884628270204641,0.269907172763215
0.00216,0.382368936779251,0.882870332294992,0.272642572867179
0.00217,0.380239836575774,0.884628663480078,0.269907010709764
0.00218,0.382350665051787,0.882870543119517,0.272667513698103
0.00219,0.380253787298012,0.884605359261026,0.269963730179054
0.0022,0.382401074823576,0.882832171834567,0.272721055930113
0.00221,0.38027280592421,0.88459600863648,0.26996758060726
0.00222,0.382411092117754,0.882832055784449,0.272707385130493
0.00223,0.380262578547733,0.88461310102711,0.269925976607347
0.00224,0.382378855296324,0.882856595920586,0.272673141438221
0.00225,0.380243189953452,0.884622633619912,0.269922049083425
0.00226,0.382377863892469,0.882856607346129,0.272674494719097
0.00227,0.380257141928735,0.88459932602939,0.269978773981472
0.00228,0.382428277233893,0.882818231165101,0.272728039435698
0.00229,0.380287679696554,0.884584311522766,0.269984956023118
0.0023,0.382430136028623,0.882818209634882,0.272725502647243
0.00231,0.38028511465989,0.884588598878527,0.269974521579795
0.00232,0.382384044338626,0.88285329899792,0.27267653929835
0.00233,0.380280968407286,0.884590637627602,0.269973681844748
0.00234,0.38237392643417,0.882853415627409,0.272690349844533
0.00235,0.380290553982821,0.884574620258688,0.270012658491481
0.00236,0.382448815246231,0.882796404193531,0.272769889210166
0.00237,0.380321090837706,0.884559604296101,0.270018840660319
